molecule_id,Filename,lifetime,SMILES
173,acceptor173.sdf,6.60E-05,Cc1cc(C)c(B(c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C)c(C)c1
174,acceptor174.sdf,0.029682,CC1=CC(C)(c2cccnc2)C(B(C2C(C)=CC(C)=CC2(C)c2cccnc2)C2C(C)=CC(C)=CC2(C)c2cccnc2)C(C)=C1
177,acceptor177.sdf,2.30E-05,c1ccc2c(c1)-c1ccccc1C21c2ccccc2-c2ccccc21
178,acceptor178.sdf,0.039888,CCC(C)COc1cc2c(cc1OCC(C)CC)C1(c3ccccc3-c3ccccc31)c1cc(OCC(C)CC)c(OCC(C)CC)cc1-2
179,acceptor179.sdf,0.615195,CCCCC(CC)CC1(CC(CC)CCCC)c2ccccc2-c2ccccc21
182,acceptor182.sdf,0.000141,CCCCC(CC)CN1C(=O)c2cc(N)c3c4c(cc(N)c(c24)C1=O)C(=O)N(CC(CC)CCCC)C3=O
183,acceptor183.sdf,0.44915,c1ccc2nsnc2c1
184,acceptor184.sdf,0.126056,Fc1cc2nsnc2cc1F
185,acceptor185.sdf,0.048688,c1nncc2nsnc12
186,acceptor186.sdf,0.645936,c1[nH]cc2c1N=S=N2
187,acceptor187.sdf,0.032246,c1occ2c1N=S=N2
188,acceptor188.sdf,0.001164,c1scc2c1N=S=N2
189,acceptor189.sdf,0.004181,c1[se]cc2c1N=S=N2
190,acceptor190.sdf,0.176444,c1cnc2cscc2n1
191,acceptor191.sdf,0.074,c1scc2nnnnc12
192,acceptor192.sdf,3.478382,c1scc2nc3c(nc12)N=S=N3
193,acceptor193.sdf,0.75884,c1scc2cc3c(cc12)N=S=N3
194,acceptor194.sdf,0.777001,c1ccc2cc3nsnc3cc2c1
195,acceptor195.sdf,1.391498,c1nncc2cc3nsnc3cc12
196,acceptor196.sdf,0.088044,c1cnc2cc3nsnc3cc2n1
197,acceptor197.sdf,0.959481,c1ccc2nc3cscc3nc2c1
198,acceptor198.sdf,0.000928,c1c2c(cc3nsnc13)N=S=N2
201,acceptor201.sdf,0.003018,c1c2c(cc3n[se]nc13)N=[Se]=N2
202,acceptor202.sdf,22.406453,c1c2c(c(-c3c4c(cc5nsnc35)N=S=N4)c3nsnc13)N=S=N2
203,acceptor203.sdf,0.81103,c1cc2c(ccc3nsnc32)c2nsnc12
204,acceptor204.sdf,0.092019,c1c2c(cc3nc4nsnc4nc13)N=S=N2
205,acceptor205.sdf,34.69933,c1c2c(cc3cc4nsnc4cc13)N=S=N2
1,ps1.sdf,0.009524535,CC(=O)C(C)=O
2,ps2.sdf,0.001015022,O=c1c(I)cc2cc3cc(I)c(O)c(I)c3oc-2c1I
3,ps3.sdf,0.027434541,COc1ccc(C=O)cc1OC
4,ps4.sdf,0.001419991,O=C1c2ccccc2C(=O)c2ccccc21
5,ps5.sdf,0.000101033,COc1ccccc1C(C)=O
6,ps6.sdf,0.796185317,CC(=O)c1ccc2ccccc2c1
7,ps7.sdf,0.003863092,O=C(c1ccccc1)c1ccccc1
8,ps8.sdf,0.175162025,O=C(O)C1C2C=CC(C2)C1(C(=O)O)[N+](=O)[O-]
9,ps9.sdf,0.008050233,CC(=O)C(=O)O
10,ps10.sdf,0.002702484,O=CC(=O)O
11,ps11.sdf,0.002603446,O=Cc1ncc[nH]1
12,ps12.sdf,0.039840637,CC1(C)c2ccccc2N(c2ccc(N3c4ccccc4C(C)(C)c4ccccc43)c3nsnc23)c2ccccc21
13,ps13.sdf,0.00021322,Cc1cccc(N(c2ccccc2)c2ccc(N(c3ccc(N(c4ccccc4)c4cccc(C)c4)cc3)c3ccc(N(c4ccccc4)c4cccc(C)c4)cc3)cc2)c1
15,ps15.sdf,22.42152466,C=CC1=CC2=NC1CC1=N/C(=C\C3=C(C)C4=C(O)C/C(=C5/N/C(=C\2)[C@@H](C)[C@@H]5CCC(=O)O)C4=N3)C(CC)=C1C
16,ps16.sdf,1.710863986,C1=Cc2nc1c(-c1ccccc1)c1ccc([nH]1)c(-c1ccccc1)c1nc(c(-c3ccccc3)c3ccc([nH]3)c2-c2ccccc2)C=C1
17,ps17.sdf,2.207505519,F[B-]1(F)n2c(-c3ccccc3)cc(-c3ccccc3)c2N=C2C(c3ccccc3)=CC(c3ccccc3)=[N+]21
18,ps18.sdf,1.508295626,COc1ccc(C2=[N+]3C(=Nc4c(-c5ccccc5)cc(-c5ccc(OC)cc5)n4[B-]3(F)F)C(c3ccccc3)=C2)cc1
19,ps19.sdf,0.14365752,COc1ccc(C2=CC(c3ccccc3)=[N+]3C2=Nc2c(-c4ccc(OC)cc4)cc(-c4ccccc4)n2[B-]3(F)F)cc1
20,ps20.sdf,0.113895216,F[B-]1(F)n2c(-c3ccccc3)cc(-c3ccc(Br)cc3)c2N=C2C(c3ccc(Br)cc3)=CC(c3ccccc3)=[N+]21
21,ps21.sdf,0.005780347,F[B-]1(F)n2c(c(-c3ccccc3)c(Br)c2-c2ccccc2)N=C2C(c3ccccc3)=C(Br)C(c3ccccc3)=[N+]21
22,ps22.sdf,0.011940299,COc1ccc(C2=[N+]3C(=Nc4c(-c5ccccc5)c(Br)c(-c5ccc(OC)cc5)n4[B-]3(F)F)C(c3ccccc3)=C2Br)cc1
23,ps23.sdf,0.004274783,COc1ccc(C2=C(Br)C(c3ccccc3)=[N+]3C2=Nc2c(-c4ccc(OC)cc4)c(Br)c(-c4ccccc4)n2[B-]3(F)F)cc1
24,ps24.sdf,0.000802568,F[B-]1(F)n2c(c(-c3ccc(Br)cc3)c(Br)c2-c2ccccc2)N=C2C(c3ccc(Br)cc3)=C(Br)C(c3ccccc3)=[N+]21
25,ps25.sdf,9.085127646,COc1cc(OC)cc(C2=CC(c3ccccc3)=[N+]3C2=Nc2c(-c4cc(OC)cc(OC)c4)cc(-c4ccccc4)n2[B-]3(F)F)c1
26,ps26.sdf,0.001439263,COc1cc(OC)cc(C2=CC(c3ccc(Br)cc3)=[N+]3C2=Nc2c(-c4cc(OC)cc(OC)c4)cc(-c4ccc(Br)cc4)n2[B-]3(F)F)c1
28,ps28.sdf,0.001610825,COc1cc(OC)cc(C2=C(I)C(c3ccccc3)=[N+]3C2=Nc2c(-c4cc(OC)cc(OC)c4)c(I)c(-c4ccccc4)n2[B-]3(F)F)c1
29,ps29.sdf,0.000834028,COc1cc(OC)cc(C2=C(I)C(c3ccc(I)cc3)=[N+]3C2=Nc2c(-c4cc(OC)cc(OC)c4)c(I)c(-c4ccc(I)cc4)n2[B-]3(F)F)c1
32,ps32.sdf,0.000180213,COc1cc(OC)c(I)c(C2=C(I)C(c3ccccc3)=[N+]3C2=Nc2c(-c4cc(OC)cc(OC)c4I)c(I)c(-c4ccccc4)n2[B-]3(F)F)c1
33,ps33.sdf,0.00199005,CC1=C(I)C(C)=[N+]2C1=Cc1c(C)c(I)c(C)n1[B-]2(F)F
34,ps34.sdf,0.001994813,CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)c(I)c(C)n1[B-]2(F)F
35,ps35.sdf,0.000730455,CC1=C(I)C(C)=[N+]2C1=C(c1ccccc1)c1c(C)c(I)c(C)n1[B-]2(F)F
36,ps36.sdf,8.27E-05,CC1=C(I)C(C)=[N+]2C1=C(c1ccccc1)c1c(C)c(I)c(/C=C/c3ccc(N(C)C)cc3)n1[B-]2(F)F
37,ps37.sdf,0.000503271,CC1=C(I)C(C)=[N+]2C1=C(c1ccccc1)c1c(C)c(C#C[Si](C)(C)C)c(C)n1[B-]2(F)F
38,ps38.sdf,9.24E-05,CCCCn1c2ccccc2c2cc(C#Cc3c(C)c4n(c3C)[B-](F)(F)[N+]3=C(C)C(I)=C(C)C3=C4c3ccccc3)ccc21
39,ps39.sdf,0.002375861,CC1=C([Se]c2ccccc2)C(C)=[N+]2C1=C(c1c(C)cc(C)cc1C)c1c(C)c([Se]c3ccccc3)c(C)n1[B-]2(F)F
40,ps40.sdf,0.000595628,CC1=C(c2ccc[se]2)C(C)=[N+]2C1=C(c1c(C)cc(C)cc1C)c1c(C)c(-c3ccc[se]3)c(C)n1[B-]2(F)F
41,ps41.sdf,0.243060619,CC1=CC(C)=[N+]2C1=C(c1c3ccccc3c(-c3ccccc3)c3ccccc13)c1c(C)cc(C)n1[B-]2(F)F
42,ps42.sdf,0.162446311,CC1=CC(C)=[N+]2C1=C(c1c3ccccc3cc3ccccc13)c1c(C)cc(C)n1[B-]2(F)F
