1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,Lifetime,Filename
0.0,0.21521866,0.0,0.0,0.07474899,0.13670862,0.0,0.7396424,0.12189031,0.0,0.0,0.0,0.0,0.6653721,0.13193339,0.4592737,0.099164605,0.0,0.0,0.0,0.6554172,1.0164423,0.053443193,0.553597,0.9282018,0.6386343,0.0,0.015365422,0.6042683,0.6358988,1.0241151,0.0,0.0,30
0.0,0.3971367,0.0,0.0,0.47091663,0.32566488,0.0,0.989283,0.26618755,0.0,0.0,0.0,0.0,0.80270785,0.31915706,0.6256392,0.29864478,0.0,0.0,0.0,0.84323764,1.1538758,0.0,0.0,0.0,0.75298864,0.024205446,0.102353156,0.82761514,0.7392368,0.758981,0.0,0.0,31
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014331579,0.64944524,0.6117766,0.44644833,0.0,0.0,0.0,0.0,0.20398057,0.0,0.0,0.0,0.020451188,0.57155955,0.69398165,0.6066493,0.015760094,0.0,0.0,0.0,0.069887936,0.6717417,0.5045181,0.0,32
0.5769552,2.134707,0.6044704,1.7589861,2.141928,2.1327128,1.6553183,2.5014608,2.0106413,0.0,0.0,0.0,0.0,2.4640043,1.8660736,2.1814635,1.9824421,0.0,1.803907,1.7297932,1.7138636,2.49749,0.0,1.4867253,0.0,2.256149,1.3220901,1.218456,1.9935168,2.1165323,0.0,0.0,0.0,33
0.7733903,3.1137657,0.0,2.8351102,2.6266546,3.1315374,2.688095,2.172076,3.127471,2.5250826,0.0,0.0,0.0,3.37897,2.1831875,2.1487675,2.9982457,0.0,2.8671274,2.8112822,0.40694878,1.9424177,0.0,0.05703497,0.0,3.1304042,2.0349066,1.8862135,1.2267399,2.9275048,0.0,0.0,0.0,34
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14786026,0.0,0.30847216,0.16417825,0.11418033,0.0,0.42883623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22789615,0.0,0.0,0.92494977,0.44900417,0.0,0.0,0.0,0.46697044,0.0,0.03562647,0.0,35
1.477757,0.0,1.595342,0.0,0.0,0.0,0.0,0.0,0.0,1.1230114,1.001498,0.8699874,0.5654714,0.0,0.0,0.0,0.0,0.35360128,0.0,0.0,0.0,0.0,0.43483222,1.0909553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6994133,0.0,36
0.0,0.06534219,0.11970544,0.0,0.0,0.0,0.0,0.39692488,0.01399672,0.0,0.05216062,0.051307797,0.0,0.49977887,0.0,0.0,0.0048389435,0.0,0.0,0.0,0.0,0.46806076,0.0,0.012858391,0.8955306,0.5038286,0.0,0.0,0.0,0.51533616,0.19794607,0.001489222,0.0,37
0.47532094,0.021550775,0.7822666,0.0,0.0,0.0,0.0,0.1729851,0.02741468,0.7848034,0.17202544,0.06663579,0.0,0.4721744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2041561,0.0,0.8696704,0.027832985,0.49637252,0.0,0.0,0.0,0.51183563,0.0,0.0,0.0,38
0.0,0.0872041,0.0,0.0,0.09711504,0.0,0.0,0.7755207,0.0,0.0,0.0,0.047193944,0.0,0.5287691,0.0,0.32805836,0.0,0.0,0.0,0.0,0.54409,0.9436553,0.21777463,0.5276642,0.85384953,0.5117319,0.0,0.0,0.5316063,0.5188009,1.1010668,0.034614086,0.0,39
0.0,0.0,0.48919404,0.0,0.0,0.0,0.0,0.14158005,0.0,0.0,0.37439197,0.3587106,0.17951179,0.19578266,0.0,0.0,0.0,0.019379139,0.0,0.0,0.0,0.3025114,0.33024108,0.8480606,0.9766058,0.23320317,0.0,0.0,0.0,0.26789957,0.5628798,0.28055668,0.0,40
0.38201547,2.1645942,0.2362212,1.8153228,1.982574,2.154635,1.7081671,2.2586162,2.0732317,0.20652437,0.0,0.0,0.0,2.499304,1.8341892,2.0628302,2.0095904,0.0,1.8570639,1.7876884,1.4213727,2.284014,0.0,1.1066976,0.0,2.2978132,1.355036,1.2535605,1.7836506,2.1568449,0.0,0.0,0.0,41
