Filename,Smiles,Predicted_Y,product,pro_from_smi1_name,Initial_Y
1960,Clc1cc(-c2nc3c4ccccc4c4ccccc4c3n2-c2ccccc2)ccc1-c1c2ccccc2c(-c2ccccc2)c2ccccc12,0.28585533894183285,Clc1cc(-c2nc3c4ccccc4c4ccccc4c3n2-c2ccccc2)ccc1-c1c2ccccc2c(-c2ccccc2)c2ccccc12,a58,1.9313248963629923
3901,Cc1cccc2c(C#N)cc3ccccc3c12,0.2850948348287862,Cc1cccc2c(C#N)cc3ccccc3c12,a128,1.9279458636344637
7417,C=Cc1cc2[nH]c1ccc1nc(c3cc(CCOC)c([nH]3)c(C)cc3nc2C=C3CCOC)C=C1CCOC,0.28504811448541534,C=Cc1cc2[nH]c1ccc1nc(c3cc(CCOC)c([nH]3)c(C)cc3nc2C=C3CCOC)C=C1CCOC,p107,1.9277384710663106
7165,Cc1cccc(-c2cc3[nH]c2ccc2nc(c4cc(-c5ccccc5)c(ccc5nc3C=C5c3ccccc3)[nH]4)C=C2c2ccccc2)c1,0.2832361737242585,Cc1cccc(-c2cc3[nH]c2ccc2nc(c4cc(-c5ccccc5)c(ccc5nc3C=C5c3ccccc3)[nH]4)C=C2c2ccccc2)c1,p94,1.919712415858779
3849,Cc1cccc2c1cc(C#N)c1ccccc12,0.2832121883934199,Cc1cccc2c1cc(C#N)c1ccccc12,a126,1.9196063963999546
2261,C=C(C)C(=O)OCCCc1ccc(-c2c3ccccc3c(-c3ccccc3)c3cccc(C#N)c23)cc1,0.28236833778553694,C=C(C)C(=O)OCCCc1ccc(-c2c3ccccc3c(-c3ccccc3)c3cccc(C#N)c23)cc1,a62,1.9158801498435734
1606,N#Cc1cccc2c1nc(-c1ccc(-c3c4ccccc4c(-c4ccccc4)c4ccccc34)cc1)n2-c1ccccc1,0.28096991476933914,N#Cc1cccc2c1nc(-c1ccc(-c3c4ccccc4c(-c4ccccc4)c4ccccc34)cc1)n2-c1ccccc1,a50,1.9097209603490781
2501,N#Cc1cc2c(-c3ccccc3)ccc3c4cccc5cccc(c(c1)c23)c54,0.28041303280686897,N#Cc1cc2c(-c3ccccc3)ccc3c4cccc5cccc(c(c1)c23)c54,a71,1.9072737553932624
4793,N#Cc1cccc2nsnc12,0.2803545450749601,N#Cc1cccc2nsnc12,a183,1.9070169144488354
2943,CC1=CC(C)=[N+]2C1=C(c1ccc(-c3ccc4c5cccc6c(Cl)ccc(c7cccc3c74)c65)cc1)c1c(C)cc(C)n1[B-]2(F)F,0.2788085865807,CC1=CC(C)=[N+]2C1=C(c1ccc(-c3ccc4c5cccc6c(Cl)ccc(c7cccc3c74)c65)cc1)c1c(C)cc(C)n1[B-]2(F)F,a85,1.9002405724944338
2267,C=C(C)C(=O)OCCCc1ccc(-c2c3ccccc3c(-c3ccc(C#N)cc3)c3ccccc23)cc1,0.2757662061685983,C=C(C)C(=O)OCCCc1ccc(-c2c3ccccc3c(-c3ccc(C#N)cc3)c3ccccc23)cc1,a62,1.8869752598729828
